	mets	stat	pval	padj	FC_geommu	log2FC
0	Hexose	-0.4800658899893102	0.6562526987861313	1.0	0.039908773157176364	-4.64715026039341
1	Hexose-phosphate				1.0	0.0
2	L-Glutamic_acid	0.1114539374138447	0.9166251686748049	1.0	1.018222631410434	0.02605303696928114
3	L-Glutamine	-0.9725700220862465	0.38583942925494985	1.0	0.7992510449818352	-0.32327936962679554
4	L-Methionine				1.0	0.0
5	L-Phenylalanine				1.0	0.0
6	L-Histidine				1.0	0.0
7	L-Proline				1.0	0.0
8	L-Tryptophan				1.0	0.0
9	L-Valine				1.0	0.0
10	L-Arginine				1.0	0.0
11	L-Lysine				1.0	0.0
12	Ile_Leu				1.0	0.0
13	L-Tyrosine				1.0	0.0
