compartment,metabolite
med,Fum
med,CDP
med,IsoCit
med,P5P
med,GMP
med,Sed7P
med,Glc6P
med,CTP
med,Pyr
med,Fru6P
med,Glutamine
med,PEP
med,UDP
med,Alanine
med,Gly3P
med,Glycine
med,Rib1P
med,FruBP
med,CMP
med,ATP
med,Serine
med,Glutamate
med,UMP
med,PRPP
med,ADP
med,GDP
med,UTP
med,Fru1P
med,Aspartate
med,6-PG
med,Cit
med,a-KG
med,2_3-PG
med,GTP
med,2-OHGLu
med,AMP
med,Mal
med,Suc
cell,Formate
cell,Phenylalanine
cell,Tyrosine
cell,Glucose
cell,Pyruvate
cell,Acetate
cell,Lactate
cell,Threonine
cell,Ethanol
cell,Valine
cell,Isoleucine
cell,Leucine
