metabolite_or_isotopologue	MCF001089_TD01	MCF001089_TD02	MCF001089_TD19	MCF001089_TD20	MCF001089_TD37	MCF001089_TD38	MCF001089_TD55	MCF001089_TD56
Fructose_1,6-bisphosphate		0.0	0.0					
Fumaric_acid	0.0	0.0	0.0	0.0				
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose	0.0076274917459648	0.0016757713035725	0.0057568749428963	0.0052188231363874	0.0	0.0	0.0	0.0
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine	0.0003001830985107	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Asparagine					0.0	0.0	0.0027504334814913	0.0
L-Aspartic_acid	0.0071142930086375	0.0071156517039787	0.0088721470365526	0.0081418183341995				
L-Glutamic_acid	0.0186189922849795	0.0189512529072842	0.0186857662222136	0.0202828476474173				
L-Glutamine	0.001602000129099	0.0	0.0022774158642472	0.0022177382266197				
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid	0.996169569495619	0.995975477500888	0.99599115961227	0.99599772879137	0.980373866526704	0.979007295796873	0.981176728749348	0.982344821248399
L-Lysine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Malic_acid	3.53420625487163e-05	8.4896366324339e-05	0.0	0.0				
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	0.006100565037231	0.0051347592442219	0.0033332465193545	0.0039890890311149	0.0009115407477038	0.002210296839483	0.0	0.0
L-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	1.0	1.0	1.0	1.0	4.56717332815963e-05	0.0	0.000139075094375	5.51743930058195e-05
