"metabolite_or_isotopologue"	"MCF001089_TD01"	"MCF001089_TD02"	"MCF001089_TD07"	"MCF001089_TD08"	"MCF001089_TD19"	"MCF001089_TD20"	"MCF001089_TD25"	"MCF001089_TD26"
"3-Phosphoglyceric_acid"	0	0	0	0	0	0	0	0
"D-Glyceraldehyde_3-phosphate"	0	0	0	0	0	0	0	0
"Fructose_1,6-bisphosphate"		81.4679866666667	31.6630577777778	488.622236666667	30.8803213333333			108.581936666667
"Fumaric_acid"	1765.86215555556	2350.10170666667	565.610094444446	1636.14516166667	1112.74115333333	1571.79397238095		2082.22751166667
"Glycine"	31339.8481444444	19953.5023583333	15011.0703722222	26867.8794083333	20173.4358866667	14121.0413761905	15741.4947722222	25731.8198583333
"Hexose"	15263.5255822222	10653.2044216667	7620.26624777778	12194.1760716667	9284.63917733333	7131.81151809524	6702.56249444444	11674.3647366667
"Hexose-phosphate"	556790.673044445	410704.964783333	215369.089855556	457681.989783333	337548.203826667	233788.39987619	229354.869855556	416586.114783333
"Ile_Leu"	723695.661422222	871117.529066667	433211.344044445	674932.942066667	545783.408853333	441641.192038095	354037.386377778	633452.639566667
"L-Alanine"	14581.8738	7816.5634	7056.1679	14626.51065	9781.12384	6324.36291142857	8061.85666666667	13276.4346
"L-Arginine"	5680.36646666667	7466.3312	4182.3862	4069.3133	5139.22984	3719.84874285714	2943.64146666667	4496.78815
"L-Asparagine"	0	0	0	0	0	0	0	0
"L-Aspartic_acid"	71486.7826733333	55376.312	8361.73950333333	20235.678005	34321.611392	23119.7546114286	7664.62600333333	15616.709855
"L-Glutamic_acid"	139191.379926667	104355.486845	46972.5056633333	106954.896995	82261.285316	55875.2586828572	47872.66033	95053.066995
"L-Glutamine"	18606.3295888889	9863.26144166667	4512.04142777778	8956.96039166667	8701.49703333333	5374.54708095238	4094.74607777778	6858.29979166667
"L-Histidine"	16420.3873555556	15111.1193166667	8215.77284444444	11717.0679166667	12255.2822533333	8082.46903809524	7269.83641111111	11350.3651166667
"L-Lactic_acid"	1073607.02939556	1722584.27204667	973301.254697778	991816.077046667	879872.249637333	726504.40688381	614361.074697778	951194.522046667
"L-Lysine"	11537.7368088889	13806.3660566667	8333.77790444444	8813.93985666667	9173.40752533333	6579.52871809524	6643.03809444445	9442.27910666667
"L-Malic_acid"	83435.1865866666	84111.08979	28512.00636	76546.89804	79766.017952	59945.28644	37016.1760266666	84042.47954
"L-Methionine"	50953.0917244445	49086.9967933333	28047.9878622222	45217.3526633333	38660.3430346667	29593.6873104762	25367.6815288889	44736.3858283333
"L-Phenylalanine"	246751.262311111	294311.098933333	140657.682055556	222115.474433333	189439.933946667	150023.760819048	115791.137788889	208570.640433333
"L-Proline"	6399.38726888889	4826.82001666667	3510.94907111111	6967.53641166667	4196.61001333333	3581.47258095238	4106.87511777778	6867.03516666667
"L-Serine"	34591.2267711111	27843.7145783333	20292.6883855556	30783.4935783333	24105.1632626667	18470.5186161905	18382.1520522222	30617.7295783333
"L-Threonine"	162184.6072	122218.556075	79915.61493	130398.02227	113231.489568	82710.4076914286	75580.7397533333	125274.2576
"L-Tryptophan"	4101.06842222222	4813.90256666667	2571.57297777778	2610.92331666667	2975.53693333333	2079.13866666667	2157.05677777778	2678.53861166667
"L-Tyrosine"	216327.269937778	233028.434953333	117722.982402222	189134.539653333	158752.205722667	127191.966830476	98779.6188355556	178181.922453333
"L-Valine"	204800.461264444	179839.415188333	124299.928198889	183414.655498333	153570.355558667	121953.235541905	102920.697115556	178884.876848333
"Pyruvic_acid"	629.537755555556	1468.37931666667	1214.93254444444	2671.41481666667	750.124653333333	639.896466666667	960.639211111111	2012.05231666667
"cis-Aconitic_acid"	0	0	0	0	0	0	0	0
